version,build,date,bullet_text,patch_id,bullet_idx_in_patch,bullet_id
2.5.3,70356,"January 28, 2026",Fixed an issue where the Executioner Monster Affix sound effect played continuously.,2.5.3_70356,0,2.5.3_70356_0
2.5.3,70356,"January 28, 2026",Fixed an issue where certain Silent Chests in Nahantu did not count towards the Season Rank objective Test of Luck.,2.5.3_70356,1,2.5.3_70356_1
2.5.3,70356,"January 28, 2026",Fixed an issue where Zagraal in the Dark Citadel didn't drop loot.,2.5.3_70356,2,2.5.3_70356_2
2.5.3,70356,"January 28, 2026",Fixed an issue where some Tower bosses had significantly more health than others.,2.5.3_70356,3,2.5.3_70356_3
2.5.3,70356,"January 28, 2026",Fixed an issue where an error would occur when trying to view the profile of a leaderboard entry and the player had a private profile.,2.5.3_70356,4,2.5.3_70356_4
2.5.3,70356,"January 28, 2026",Fixed an issue where resetting a piece of masterworked gear did not unlock the Recycled Works challenge.,2.5.3_70356,5,2.5.3_70356_5
2.5.3,70356,"January 28, 2026",Fixed an issue where the reward for defeating all the Lesser Evils at once was only given to the player who opened the chest in Local Co-op play.,2.5.3_70356,6,2.5.3_70356_6
2.5.3,70356,"January 28, 2026",Fixed an issue where other Divine Gifts could stop gaining experience if another Divine Gift was at Rank 5.,2.5.3_70356,7,2.5.3_70356_7
2.5.3,70356,"January 28, 2026",Fixed an issue where some cosmetic items would show as locked even though they were unlocked and usable.,2.5.3_70356,8,2.5.3_70356_8
2.5.3,70356,"January 28, 2026",Fixed various instances of Placeholder assets in the Wardrobe.,2.5.3_70356,9,2.5.3_70356_9
2.5.3,70356,"January 28, 2026","Various performance, stability, and audio improvements.",2.5.3_70356,10,2.5.3_70356_10
2.5.2,70156,"January 12, 2026",Tower now unlocks Tiers the same way the Pit does.,2.5.2_70156,0,2.5.2_70156_0
2.5.2,70156,"January 12, 2026",Monster populations have been tuned to be fair to both ranged and melee builds.,2.5.2_70156,1,2.5.2_70156_1
2.5.2,70156,"January 12, 2026",Bosses have been adjusted to remove unwanted behavior such as self healing and invisibility.,2.5.2_70156,2,2.5.2_70156_2
2.5.2,70156,"January 12, 2026",Boss health has been lowered to have parity with Pit Bosses.,2.5.2_70156,3,2.5.2_70156_3
2.5.2,70156,"January 12, 2026",Removed the delay between when a Pylon Cage is destroyed and when a Pylon can be used.,2.5.2_70156,4,2.5.2_70156_4
2.5.2,70156,"January 12, 2026",Pylon health has been reduced in an effort to make them less tanky.,2.5.2_70156,5,2.5.2_70156_5
2.5.2,70156,"January 12, 2026",Tuned the pylons to be more balanced to avoid unfair rolls of pylon spawn order.,2.5.2_70156,6,2.5.2_70156_6
2.5.2,70156,"January 12, 2026",Damage from 4[x] to 3[x].,2.5.2_70156,7,2.5.2_70156_7
2.5.2,70156,"January 12, 2026",Player gains a chunk of Temporary Attack Speed (+50% Attack Speed).,2.5.2_70156,8,2.5.2_70156_8
2.5.2,70156,"January 12, 2026",Player can Knockdown enemies they pass through.,2.5.2_70156,9,2.5.2_70156_9
2.5.2,70156,"January 12, 2026",Resource gain per second to support builds that drain resource which don't benefit from Cost Reduction.,2.5.2_70156,10,2.5.2_70156_10
2.5.2,70156,"January 12, 2026","Orbs drop immediately when the monster dies, and no longer wait for post-Death effects (Elite affixes like Fire enchanted, certain spiders, etc.)",2.5.2_70156,11,2.5.2_70156_11
2.5.2,70156,"January 12, 2026","If the orb drops close enough to the player, orbs will appear closer to you to avoid backtracking. If you are too far, orbs will drop at the corpse of the enemy that dropped it.",2.5.2_70156,12,2.5.2_70156_12
2.5.2,70156,"January 12, 2026",Dying will never respawn players on the previous floor.,2.5.2_70156,13,2.5.2_70156_13
2.5.2,70156,"January 12, 2026",Exit portals now spawn closer to the player at the end of a run.,2.5.2_70156,14,2.5.2_70156_14
2.5.2,70156,"January 12, 2026",Spinning hazards in certain areas in the Vault of the Crucible dungeon have been removed.,2.5.2_70156,15,2.5.2_70156_15
2.5.2,70156,"January 12, 2026",Locked Capstone Dungeons will now show on the map and display a tooltip which describes requirements to unlock.,2.5.2_70156,16,2.5.2_70156_16
