version,build,date,bullet_text,BUFF,NERF,BUG_FIX,NEW_CONTENT,QOL,GAMEPLAY,OTHER,label_count
2.5.3,70356,"January 28, 2026",Fixed an issue where the Executioner Monster Affix sound effect played continuously.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",This affix will be re-enabled with the release of this patch.,0,0,0,0,0,0,1,0
2.5.3,70356,"January 28, 2026",Fixed an issue where certain Silent Chests in Nahantu did not count towards the Season Rank objective Test of Luck.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",Fixed an issue where Zagraal in the Dark Citadel didn't drop loot.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",Fixed an issue where some Tower bosses had significantly more health than others.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",Fixed an issue where an error would occur when trying to view the profile of a leaderboard entry and the player had a private profile.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",Fixed an issue where resetting a piece of masterworked gear did not unlock the Recycled Works challenge.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026",Fixed an issue where the reward for defeating all the Lesser Evils at once was only given to the player who opened the chest in Local Co-op play.,0,1,1,0,0,0,0,2
2.5.3,70356,"January 28, 2026",Fixed an issue where other Divine Gifts could stop gaining experience if another Divine Gift was at Rank 5.,1,0,1,0,0,0,0,2
2.5.3,70356,"January 28, 2026",Fixed an issue where some cosmetic items would show as locked even though they were unlocked and usable.,0,0,1,1,0,0,0,2
2.5.3,70356,"January 28, 2026",Fixed various instances of Placeholder assets in the Wardrobe.,0,0,1,0,0,0,0,1
2.5.3,70356,"January 28, 2026","Various performance, stability, and audio improvements.",1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",The Tower and Leaderboards,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Tower now unlocks Tiers the same way the Pit does.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Monster populations have been tuned to be fair to both ranged and melee builds.,0,0,0,0,1,0,0,1
2.5.2,70156,"January 12, 2026",Bosses have been adjusted to remove unwanted behavior such as self healing and invisibility.,0,0,0,0,0,1,0,1
2.5.2,70156,"January 12, 2026",Boss health has been lowered to have parity with Pit Bosses.,0,1,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Removed the delay between when a Pylon Cage is destroyed and when a Pylon can be used.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Pylon health has been reduced in an effort to make them less tanky.,0,1,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Tuned the pylons to be more balanced to avoid unfair rolls of pylon spawn order.,0,0,0,0,0,1,0,1
2.5.2,70156,"January 12, 2026",Pylon of Power,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Damage from 4[x] to 3[x].,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Pylon of Speed,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Player gains a chunk of Temporary Attack Speed (+50% Attack Speed).,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Player can Knockdown enemies they pass through.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026","Pylon of Channeling, Shrine of Channeling",0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Resource gain per second to support builds that drain resource which don't benefit from Cost Reduction.,1,0,0,0,1,0,0,2
2.5.2,70156,"January 12, 2026","Orbs drop immediately when the monster dies, and no longer wait for post-Death effects (Elite affixes like Fire enchanted, certain spiders, etc.)",0,1,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026","If the orb drops close enough to the player, orbs will appear closer to you to avoid backtracking. If you are too far, orbs will drop at the corpse of the enemy that dropped it.",0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Quality of Life,0,0,0,0,1,0,0,1
2.5.2,70156,"January 12, 2026",Dying will never respawn players on the previous floor.,0,0,0,0,0,1,0,1
2.5.2,70156,"January 12, 2026",Exit portals now spawn closer to the player at the end of a run.,0,0,0,0,0,1,0,1
2.5.2,70156,"January 12, 2026",Spinning hazards in certain areas in the Vault of the Crucible dungeon have been removed.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Locked Capstone Dungeons will now show on the map and display a tooltip which describes requirements to unlock.,0,0,0,0,1,0,0,1
2.5.2,70156,"January 12, 2026",Various updates to The Tower.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026","With the release of the Tower in this patch, we've made a ton of change since we initially had players dive in for the Season 11 PTR. This includes various Quality of Life improvements and bug fixes. The Tower will be releasing as a Beta so please continue to provide feedback! For more details on the Tower, you can read our blog",1,0,1,0,1,0,0,3
2.5.2,70156,"January 12, 2026","Meteors spawned by the Essence of Hellfire now only deal damage over time, and no longer deal immediate damage or Stun players hit.",0,1,0,0,0,1,0,2
2.5.2,70156,"January 12, 2026",This part of the power will be re-enabled with the release of this patch.,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026","When attempting to sanctify items that cannot be sanctified, you’ll now be better informed why it can’t be sanctified.",0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Fixed an issue where Flails couldn’t be enchanted or drop with the following affixes:,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Critical Strike Damage,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Bonus Damage over Time,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Damage to Vulnerable enemies,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026",Lucky Hit to Gain Resource,1,0,0,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where Paladins could become stuck while climbing.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where Shield Charge could fail to hit enemies who were close to the player.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the player would get stuck in place if using Advance assigned to the right mouse button while March of the Stalwart was equipped.,0,0,1,0,1,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where the Rite of Mercy upgrade for Holy Light made Paladins untargetable by Spiritborn's Toxic Skin Passive when playing in PvP.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where Falling Star with the Freefall upgrade and Rally with the Words of Sacrifice upgrade didn't generate resolve when the Aspect of Valiance was equipped.,0,0,1,0,1,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where the Aspect of Valiance could not be imprinted on the expected equipment slots.,0,0,1,0,1,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where the Strength node next to the Ironclad Rare node in the Castle Paragon Board was magic instead of normal.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the Renewal passive was granting healing instead of Fortify.,0,0,1,1,0,0,0,2
2.5.2,70156,"January 12, 2026",Fixed an issue where the player could go out of bounds and get stuck when casting Falling Star towards a Fog Wall.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not read the Paladin Unique Icon on items.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Fixed an issue where Spiritborn players could not use the Armory until after unlocking Spirt Halls.,0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026","Fixed an issue where the below balance changes to Spiritborn, introduced in Season of Infernal Chaos, were unintentionally reverted.",0,0,1,0,0,0,0,1
2.5.2,70156,"January 12, 2026",Rampant Crushing Hand,0,0,0,0,0,0,1,0
2.5.2,70156,"January 12, 2026","Damage bonus increased from 3% to 5%, up to 40% from 24%.",1,0,0,0,0,0,0,1
