patch,build,date,section,change_type,previous,now,full_text,patch_major,patch_minor,patch_hotfix
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where the Executioner Monster Affix sound effect played continuously.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Developer’s Note:,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,This affix will be re-enabled with the release of this patch.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where certain Silent Chests in Nahantu did not count towards the Season Rank objective Test of Luck.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where Zagraal in the Dark Citadel didn't drop loot.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where some Tower bosses had significantly more health than others.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where an error would occur when trying to view the profile of a leaderboard entry and the player had a private profile.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where resetting a piece of masterworked gear did not unlock the Recycled Works challenge.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where the reward for defeating all the Lesser Evils at once was only given to the player who opened the chest in Local Co-op play.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where other Divine Gifts could stop gaining experience if another Divine Gift was at Rank 5.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed an issue where some cosmetic items would show as locked even though they were unlocked and usable.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,Fixed various instances of Placeholder assets in the Wardrobe.,2,5,3
2.5.3,70356,"January 28, 2026",Bug Fixes,single,,,"Various performance, stability, and audio improvements.",2,5,3
2.5.2,70156,"January 12, 2026",Base Game,single,,,The Tower and Leaderboards,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,General,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Tower now unlocks Tiers the same way the Pit does.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Encounters,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Monster populations have been tuned to be fair to both ranged and melee builds.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Bosses have been adjusted to remove unwanted behavior such as self healing and invisibility.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Boss health has been lowered to have parity with Pit Bosses.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Pylons,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Removed the delay between when a Pylon Cage is destroyed and when a Pylon can be used.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Pylon health has been reduced in an effort to make them less tanky.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Tuned the pylons to be more balanced to avoid unfair rolls of pylon spawn order.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Pylon of Power,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Damage from 4[x] to 3[x].,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Pylon of Speed,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Player gains a chunk of Temporary Attack Speed (+50% Attack Speed).,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Player can Knockdown enemies they pass through.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,"Pylon of Channeling, Shrine of Channeling",2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Resource gain per second to support builds that drain resource which don't benefit from Cost Reduction.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Orbs,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,"Orbs drop immediately when the monster dies, and no longer wait for post-Death effects (Elite affixes like Fire enchanted, certain spiders, etc.)",2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,"If the orb drops close enough to the player, orbs will appear closer to you to avoid backtracking. If you are too far, orbs will drop at the corpse of the enemy that dropped it.",2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Quality of Life,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Dying will never respawn players on the previous floor.,2,5,2
2.5.2,70156,"January 12, 2026",Base Game,single,,,Exit portals now spawn closer to the player at the end of a run.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,Spinning hazards in certain areas in the Vault of the Crucible dungeon have been removed.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,Locked Capstone Dungeons will now show on the map and display a tooltip which describes requirements to unlock.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,Various updates to The Tower.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,Developer’s Note:,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,"With the release of the Tower in this patch, we've made a ton of change since we initially had players dive in for the Season 11 PTR. This includes various Quality of Life improvements and bug fixes. The Tower will be releasing as a Beta so please continue to provide feedback! For more details on the Tower, you can read our blog",2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,here,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,"Meteors spawned by the Essence of Hellfire now only deal damage over time, and no longer deal immediate damage or Stun players hit.",2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,This part of the power will be re-enabled with the release of this patch.,2,5,2
2.5.2,70156,"January 12, 2026",Game Updates,single,,,"When attempting to sanctify items that cannot be sanctified, you’ll now be better informed why it can’t be sanctified.",2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Paladin,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where Flails couldn’t be enchanted or drop with the following affixes:,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Critical Strike Damage,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Damage,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Bonus Damage over Time,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Damage to Vulnerable enemies,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Overpower Damage,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Lucky Hit to Gain Resource,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where Paladins could become stuck while climbing.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where Shield Charge could fail to hit enemies who were close to the player.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the player would get stuck in place if using Advance assigned to the right mouse button while March of the Stalwart was equipped.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the Rite of Mercy upgrade for Holy Light made Paladins untargetable by Spiritborn's Toxic Skin Passive when playing in PvP.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where Falling Star with the Freefall upgrade and Rally with the Words of Sacrifice upgrade didn't generate resolve when the Aspect of Valiance was equipped.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the Aspect of Valiance could not be imprinted on the expected equipment slots.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the Strength node next to the Ironclad Rare node in the Castle Paragon Board was magic instead of normal.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the Renewal passive was granting healing instead of Fortify.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the player could go out of bounds and get stuck when casting Falling Star towards a Fog Wall.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where the Screen Reader did not read the Paladin Unique Icon on items.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Spiritborn,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,Fixed an issue where Spiritborn players could not use the Armory until after unlocking Spirt Halls.,2,5,2
2.5.2,70156,"January 12, 2026",Expansion,single,,,"Fixed an issue where the below balance changes to Spiritborn, introduced in Season of Infernal Chaos, were unintentionally reverted.",2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Rampant Crushing Hand,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,"Damage bonus increased from 3% to 5%, up to 40% from 24%.",2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,The Devourer,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Line damage increased from 140% to 200%.,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Spit damage increased from 40% to 95%.,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Harmonious Devourer,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Poison damage bonus increased from 50% to 100%.,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Key Passive,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Vital Strikes,2,5,2
2.5.2,70156,"January 12, 2026",Skills,single,,,Vulnerable damage bonus increased from 80% to 100%.,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,In-Fighter,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Damage bonus increased from 15% to 30%.,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Viscous Shield,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Stacking damage bonus increased from 1% to 2%.,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Bitter Medicine,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Poison damage bonus increased from 40% to 60%.,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,Revealing,2,5,2
2.5.2,70156,"January 12, 2026",Paragon,single,,,"Damage bonus increased from 15% to 30%, up to 60% from 30%.",2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where the Screen Reader did not properly read out buttons in the Season Rank menu.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Dungeons and The Pit,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where the Hellfire Adherent boss in the Hellish Descent dungeon could leave the boss arena.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where quickly leaving boss arenas after entering minor boss arenas in Capstone Dungeons could allow players to circumvent the encounters.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where the Leave Dungeon ability could teleport the player back to the first floor of Vault of the Crucible instead of outside the Dungeon.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where enemies could endlessly spawn in the second floor of the Enclave of Darkness.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where teleporting via the world map to the Hellish Descent dungeon took the player to the wrong location.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where the Guardian's Lair Portal in The Pit could spawn in an unreachable location.,2,5,2
2.5.2,70156,"January 12, 2026",Accessibility,single,,,Fixed an issue where Belial could be damaged before he fully spawned in The Pit.,2,5,2
