version,build,date,bullet_text,BUFF,NERF,BUG_FIX,NEW_CONTENT,QOL,GAMEPLAY,OTHER,label_count,IS_HEADER,LABEL_V5,LABEL_V6,LABEL_V7
2.5.2,70156,"January 12, 2026","Damage bonus increased from 3% to 5%, up to 40% from 24%.",1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Line damage increased from 140% to 200%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Spit damage increased from 40% to 95%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 50% to 100%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Vulnerable damage bonus increased from 80% to 100%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Damage bonus increased from 15% to 30%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Stacking damage bonus increased from 1% to 2%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026",Poison damage bonus increased from 40% to 60%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.2,70156,"January 12, 2026","Damage bonus increased from 15% to 30%, up to 60% from 30%.",1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.1,69864,"December 18, 2025",The altar to summon Azmodan has additional info added to the tooltip to better explain the requirements for summoning Azmodan.,0,0,0,1,1,0,0,2,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Additional changes made since the PTR’s conclusion are highlighted in,0,0,0,0,0,0,1,0,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025","Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum.",1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Additional Legendary powers have been added.,0,0,0,1,0,0,0,1,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Bonus experience from the maggots in Helltide has been adjusted.,1,0,0,0,0,0,0,1,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025",The size of Belial's eyeballs has been increased to make them easier to target.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Now: Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.,1,1,0,0,0,0,0,2,False,NERF,BUFF,BUFF
2.5.0,69713,"December 11, 2025","To reduce the number of required caps in the game, we adjusted this effect. This now grants less Primary Resource, but should provide roughly as much durability as before.",1,1,0,0,1,0,0,3,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage per 10 points of Strength increased from 1% to 1.1%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Width of the hitbox has been doubled.,1,0,0,0,0,0,0,1,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025","Now increases maximum Fury, up to 100.",1,0,0,0,0,0,0,1,False,OTHER,BUFF,BUFF
2.5.0,69713,"December 11, 2025","Fury generation per enemy hit increased from 3% to 10%, up to 10 stacks.",1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025","Now: While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second.",1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Blood Pool bonus damage no longer only applies to the casting player.,1,1,0,0,0,0,0,2,False,NERF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased damage increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased damage increased from 20%[x] to 25%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased Critical Strike Damage increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Increased damage to Injured and Healthy increased from 30%[x] to 45%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Maximum Damaging Reduction from Fortify increased from 10% to 15%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Lucky Hit chance for the channeled damage increased from 2% to 6%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Cooldown reduced from 50 to 35 seconds.,0,1,0,0,0,0,0,1,False,NERF,NERF,BUFF
2.5.0,69713,"December 11, 2025",Duration increased from 10 to 12 seconds.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage Reduction increased from 20% to 30%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Now: Cooldown reduced by 10 seconds.,0,1,0,0,0,0,0,1,False,NERF,NERF,BUFF
2.5.0,69713,"December 11, 2025",Damage against immobilized enemies increased from 15%[x] to 25%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Critical Strike Damage increased from 15%[x] to 20%[x].,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Now: Your Earth Skills deal 70%[x] increased Critical Strike Damage.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Now: Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Attack Speed increased by 25%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025","Consuming a Corpse now contributes 3 souls to Vampiric Curse, up from 1.",1,0,0,0,0,0,0,1,False,OTHER,OTHER,BUFF
2.5.0,69713,"December 11, 2025",Damage bonus increased from 15-25% to 20-30% per soul.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage increased from 40-80% to 60-120% of weapon damage.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Blood Lance Damage increased from 10-40% to 30-60%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage increased from 520-900% to 650-1100% of weapon damage.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage scaling per 10 points of Dexterity increased from 1.1% to 1.25%.,1,0,0,0,0,1,0,2,False,BUFF,BUFF,BUFF
2.5.0,69713,"December 11, 2025",Damage increased from 10-30% to 20-40%.,1,0,0,0,0,0,0,1,False,BUFF,BUFF,BUFF
