bullet_id,version,date,bullet_text,auto_label,label_reason
2.5.2_70156_3,2.5.2,"January 12, 2026",Boss health has been lowered to have parity with Pit Bosses.,Buff,enemy_decrease
2.5.2_70156_8,2.5.2,"January 12, 2026",Player gains a chunk of Temporary Attack Speed (+50% Attack Speed).,Buff,player_increase
2.5.2_70156_18,2.5.2,"January 12, 2026","Meteors spawned by the Essence of Hellfire now only deal damage over time, and no longer deal immediate damage or Stun players hit.",Buff,player_increase
2.5.2_70156_21,2.5.2,"January 12, 2026",Bonus Damage over Time,Buff,player_increase
2.5.2_70156_24,2.5.2,"January 12, 2026",Lucky Hit to Gain Resource,Buff,player_increase
2.5.2_70156_36,2.5.2,"January 12, 2026","Damage bonus increased from 3% to 5%, up to 40% from 24%.",Buff,player_increase
2.5.2_70156_37,2.5.2,"January 12, 2026",Line damage increased from 140% to 200%.,Buff,player_increase
2.5.2_70156_38,2.5.2,"January 12, 2026",Spit damage increased from 40% to 95%.,Buff,player_increase
2.5.2_70156_39,2.5.2,"January 12, 2026",Poison damage bonus increased from 50% to 100%.,Buff,player_increase
2.5.2_70156_40,2.5.2,"January 12, 2026",Vulnerable damage bonus increased from 80% to 100%.,Buff,player_increase
2.5.2_70156_41,2.5.2,"January 12, 2026",Damage bonus increased from 15% to 30%.,Buff,player_increase
2.5.2_70156_42,2.5.2,"January 12, 2026",Stacking damage bonus increased from 1% to 2%.,Buff,player_increase
2.5.2_70156_43,2.5.2,"January 12, 2026",Poison damage bonus increased from 40% to 60%.,Buff,player_increase
2.5.2_70156_44,2.5.2,"January 12, 2026","Damage bonus increased from 15% to 30%, up to 60% from 30%.",Buff,player_increase
2.5.0_69713_4,2.5.0,"December 11, 2025","Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum.",Buff,player_increase
2.5.0_69713_5,2.5.0,"December 11, 2025",Additional Legendary powers have been added.,Buff,player_increase
2.5.0_69713_9,2.5.0,"December 11, 2025",Purified Gifts now grant 2 levels instead of one.,Buff,player_increase
2.5.0_69713_17,2.5.0,"December 11, 2025",Lucky Hit gain resource reduced from 66% to 22%.,Buff,player_increase
2.5.0_69713_20,2.5.0,"December 11, 2025",Now: Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%.,Buff,player_increase
2.5.0_69713_21,2.5.0,"December 11, 2025",Damage per 10 points of Strength increased from 1% to 1.1%.,Buff,player_increase
2.5.0_69713_25,2.5.0,"December 11, 2025","Now increases maximum Fury, up to 100.",Buff,player_increase
2.5.0_69713_28,2.5.0,"December 11, 2025","Now: While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second.",Buff,player_increase
2.5.0_69713_29,2.5.0,"December 11, 2025",The shorter cooldown for the last Brawling skill used before re-enabling all of them now scales based on attack speed.,Buff,player_increase
2.5.0_69713_30,2.5.0,"December 11, 2025",Blood Pool bonus damage no longer only applies to the casting player.,Buff,player_increase
2.5.0_69713_31,2.5.0,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,Buff,player_increase
2.5.0_69713_32,2.5.0,"December 11, 2025",Increased damage increased from 45%[x] to 60%[x].,Buff,player_increase
2.5.0_69713_33,2.5.0,"December 11, 2025",Increased damage increased from 30%[x] to 45%[x].,Buff,player_increase
2.5.0_69713_34,2.5.0,"December 11, 2025",Increased damage increased from 20%[x] to 25%[x].,Buff,player_increase
2.5.0_69713_35,2.5.0,"December 11, 2025",Increased Critical Strike Damage increased from 30%[x] to 45%[x].,Buff,player_increase
2.5.0_69713_36,2.5.0,"December 11, 2025",Increased damage to Injured and Healthy increased from 30%[x] to 45%[x].,Buff,player_increase
2.5.0_69713_37,2.5.0,"December 11, 2025",Maximum Damaging Reduction from Fortify increased from 10% to 15%.,Buff,player_increase
2.5.0_69713_43,2.5.0,"December 11, 2025",Lucky Hit chance for the channeled damage increased from 2% to 6%.,Buff,player_increase
2.5.0_69713_45,2.5.0,"December 11, 2025",Duration increased from 10 to 12 seconds.,Buff,player_increase
2.5.0_69713_46,2.5.0,"December 11, 2025",Damage Reduction increased from 20% to 30%.,Buff,player_increase
2.5.0_69713_47,2.5.0,"December 11, 2025",Previous: You gain 30%[+] increased Armor while Grizzly Rage is active.,Buff,player_increase
2.5.0_69713_48,2.5.0,"December 11, 2025",Now: Cooldown reduced by 10 seconds.,Buff,player_increase
