chunk_id,version,build,date,chunk_text,word_count
0,2.5.3,70356,"January 28, 2026","Bug Fixes
Fixed an issue where the Executioner Monster Affix sound effect played continuously. Developer’s Note:
This affix will be re-enabled with the release of this patch. Fixed an issue where certain Silent Chests in Nahantu did not count towards the Season Rank objective Test of Luck. Fixed an issue where Zagraal in the Dark Citadel didn't drop loot. Fixed an issue where some Tower bosses had significantly more health than others. Fixed an issue where an error would occur when trying to view the profile of a leaderboard entry and the player had a private profile. Fixed an issue where resetting a piece of masterworked gear did not unlock the Recycled Works challenge. Fixed an issue where the reward for defeating all the Lesser Evils at once was only given to the player who opened the chest in Local Co-op play. Fixed an issue where other Divine Gifts could stop gaining experience if another Divine Gift was at Rank 5. Fixed an issue where some cosmetic items would show as locked even though they were unlocked and usable. Fixed various instances of Placeholder assets in the Wardrobe. Various performance, stability, and audio improvements.",194
1,2.5.2,70156,"January 12, 2026","Game Updates
Base Game
The Tower and Leaderboards
General
Tower now unlocks Tiers the same way the Pit does. Encounters
Monster populations have been tuned to be fair to both ranged and melee builds. Bosses have been adjusted to remove unwanted behavior such as self healing and invisibility. Boss health has been lowered to have parity with Pit Bosses. Pylons
Removed the delay between when a Pylon Cage is destroyed and when a Pylon can be used. Pylon health has been reduced in an effort to make them less tanky. Tuned the pylons to be more balanced to avoid unfair rolls of pylon spawn order. Pylon of Power
Damage from 4[x] to 3[x]. Pylon of Speed
Player gains a chunk of Temporary Attack Speed (+50% Attack Speed). Player can Knockdown enemies they pass through. Pylon of Channeling, Shrine of Channeling
Resource gain per second to support builds that drain resource which don't benefit from Cost Reduction. Orbs
Orbs drop immediately when the monster dies, and no longer wait for post-Death effects (Elite affixes like Fire enchanted, certain spiders, etc.)
If the orb drops close enough to the player, orbs will appear closer to you to avoid backtracking. If you are too far, orbs will drop at the corpse of the enemy that dropped it. Quality of Life
Dying will never respawn players on the previous floor. Exit portals now spawn closer to the player at the end of a run. Game Updates
Spinning hazards in certain areas in the Vault of the Crucible dungeon have been removed. Locked Capstone Dungeons will now show on the map and display a tooltip which describes requirements to unlock. Various updates to The Tower. Developer’s Note:
With the release of the Tower in this patch, we've made a ton of change since we initially had players dive in for the Season 11 PTR. This includes various Quality of Life improvements and bug fixes. The Tower will be releasing as a Beta so please continue to provide feedback! For more details on the Tower, you can read our blog
here
. Meteors spawned by the Essence of Hellfire now only deal damage over time, and no longer deal immediate damage or Stun players hit. Developer’s Note:
This part of the power will be re-enabled with the release of this patch.",385
2,2.5.2,70156,"January 12, 2026","When attempting to sanctify items that cannot be sanctified, you’ll now be better informed why it can’t be sanctified. Bug Fixes
Expansion
Paladin
Fixed an issue where Flails couldn’t be enchanted or drop with the following affixes:
Critical Strike Damage
Damage
Bonus Damage over Time
Damage to Vulnerable enemies
Overpower Damage
Lucky Hit to Gain Resource
Fixed an issue where Paladins could become stuck while climbing. Fixed an issue where Shield Charge could fail to hit enemies who were close to the player. Fixed an issue where the player would get stuck in place if using Advance assigned to the right mouse button while March of the Stalwart was equipped. Fixed an issue where the Rite of Mercy upgrade for Holy Light made Paladins untargetable by Spiritborn's Toxic Skin Passive when playing in PvP. Fixed an issue where Falling Star with the Freefall upgrade and Rally with the Words of Sacrifice upgrade didn't generate resolve when the Aspect of Valiance was equipped. Fixed an issue where the Aspect of Valiance could not be imprinted on the expected equipment slots. Fixed an issue where the Strength node next to the Ironclad Rare node in the Castle Paragon Board was magic instead of normal. Fixed an issue where the Renewal passive was granting healing instead of Fortify. Fixed an issue where the player could go out of bounds and get stuck when casting Falling Star towards a Fog Wall. Fixed an issue where the Screen Reader did not read the Paladin Unique Icon on items. Spiritborn
Fixed an issue where Spiritborn players could not use the Armory until after unlocking Spirt Halls. Fixed an issue where the below balance changes to Spiritborn, introduced in Season of Infernal Chaos, were unintentionally reverted. Skills
Rampant Crushing Hand
Damage bonus increased from 3% to 5%, up to 40% from 24%. The Devourer
Line damage increased from 140% to 200%. Spit damage increased from 40% to 95%. Harmonious Devourer
Poison damage bonus increased from 50% to 100%. Key Passive
Vital Strikes
Vulnerable damage bonus increased from 80% to 100%. Paragon
In-Fighter
Damage bonus increased from 15% to 30%. Viscous Shield
Stacking damage bonus increased from 1% to 2%. Bitter Medicine
Poison damage bonus increased from 40% to 60%. Revealing
Damage bonus increased from 15% to 30%, up to 60% from 30%.",385
3,2.5.2,70156,"January 12, 2026","Base Game
Accessibility
Fixed an issue where the Screen Reader did not properly read out buttons in the Season Rank menu. Dungeons and The Pit
Fixed an issue where the Hellfire Adherent boss in the Hellish Descent dungeon could leave the boss arena. Fixed an issue where quickly leaving boss arenas after entering minor boss arenas in Capstone Dungeons could allow players to circumvent the encounters. Fixed an issue where the Leave Dungeon ability could teleport the player back to the first floor of Vault of the Crucible instead of outside the Dungeon. Fixed an issue where enemies could endlessly spawn in the second floor of the Enclave of Darkness. Fixed an issue where teleporting via the world map to the Hellish Descent dungeon took the player to the wrong location. Fixed an issue where the Guardian's Lair Portal in The Pit could spawn in an unreachable location. Fixed an issue where Belial could be damaged before he fully spawned in The Pit. Gameplay
Fixed an issue where Druid players could not use the Armory until they unlocked Spirt Boons. Fixed an issue where previously earned renown rewards for extra potion charges still applied for some players. Fixed an issue where Elite Monsters with the Soul Drinker Affix could scale indefinitely, becoming extremely large and eventually unkillable. Who knew drinking souls could be so good for bulking? Fixed an issue where sometimes mounts would fail to break through barriers when using Spur. User Interface and User Experience
Fixed an issue where Greater Affixes would lose their unique colored text after being upgraded through Masterworking. Fixed an issue where the Boss Health Bar would be duplicated after it revived when fighting the Entwined Souls in Enclave of Darkness. Fixed an issue where Toughness did not display properly when comparing items. Fixed an issue where the visual effect for the Poison Enchanted affix could persist after the damaging effect was complete. Miscellaneous
Fixed an issue where players on controller could accidentally re-summon Azmodan when trying to collect loot after defeating him. Various stability, performance, UI, and visual improvements.",346
4,2.5.1,69864,"December 18, 2025","Game Updates
Base Game
Updated descriptions and tooltips for Heavenly Sigils so the requirements for sanctifying an item are clearer. The Season Rank objective for clearing Pit Tier 40 has been changed to now require a Pit Tier 35 clear instead. Various UI consistency and clarity improvements for Sanctification and Season Rank. An audio cue has been added to further bring attention to the safe zones in the Vault of the Crucible Capstone Dungeon. The altar to summon Azmodan has additional info added to the tooltip to better explain the requirements for summoning Azmodan. Bug Fixes
Expansion
Fixed an issue where Paladins could not get a Strength affix from Sanctification. Fixed an issue where the Extra Damage for Justice Skills Tempering affix didn't apply properly. Fixed an issue where the damage increase from Judgement Consumption granted by Virtuous Charge didn't properly apply. Fixed an issue where Arbiter of Justice did not benefit from Reach of the Law when Judgement of Uriel was equipped. Fixed an issue where the Seraph's Wings upgrade for Arbiter of Justice granted higher than intended movement speed. Fixed an issue where the Resolve Stacks from the Aspects of Dominance and Valiance could fall off randomly. Fixed an issue where the gauge meter for Arbiter of Justice could stop draining, even though the buff itself reduced properly. Fixed an issue where Runes for the Paladin could not be randomly crafted at the Jeweler. Fixed an issue where the initial questline to go through Kurast Undercity couldn't be completed for players in the eternal realm. Fixed an issue where the Paladin quest,
Call of the Paladin
could have progression blocked if the associated monsters were slain by nearby NPCs. Fixed an issue where the Herald of Hatred pet would often turn unstoppable and run away from the player. Fixed an issue where the objective to Speak to Sihek during the
Deeds of a Champion
quest would shift the quest pin location incorrectly. Various fixes and improvements to consistency, accuracy, and clarity for tooltips, descriptions, and icons for the Paladin. Base Game
Accessibility
Fixed an issue where the Screen Reader did not read all information in the Ensembles Tab in the Wardrobe. Capstone Dungeons
Fixed an issue where the boss in the Hellish Descent could fully reset if the player entered specific locations in the boss arena.",388
5,2.5.1,69864,"December 18, 2025","Fixed an issue where the player could get stuck between the wall and the barrier in Enclave of Darkness. Fixed an issue where the player respawned at the previous floor when dying during the boss encounter in Enclave of Darkness. Fixed an issue where Azmodan's demon gate attack could spawn outside the boss arena in Breach of Sin. Fixed an issue where monsters could infinitely spawn in Breach of Sin. Gameplay
Fixed an issue where monsters spawned by Animus Carriers also dropped Animus. Fixed an issue where Tortured Gifts failed to respawn if Helltide re-appeared in the same region where it was previously. Fixed an issue where access to Divine Gifts could be lost when playing in Local Co-Op. Fixed an issue where Meteors spawned by the Essence of Hellfire could reflect Thorns damage back onto the player. Fixed an issue where the Sanctification Affix for adding quality could malfunction. Fixed an issue where Sorcerer's Flame Shield Enchantment would fail to activate if Flame Shield was equipped to the Skill Bar and Orsivane was equipped. Miscellaneous
Fixed an issue where the visual and audio effects for the Essence of Squalor Divine Gift persisted in town. Developer’s Note:
These effects has been disabled entirely. Fixed an issue where the Spectral Shiver Cosmetic bundle would be missing even if it was properly owned. Fixed an issue where the Leaderboard was viewable, despite having no entries there. Fixed an issue where tempering Legendary Ancestral Armor required more material types than intended. Fixed an issue where the Resolute Defender Challenge could be unlocked when not playing as a Paladin. Various stability, UI, visual, performance, and audio improvements.",273
6,2.5.0,69713,"December 11, 2025","Note:
Additional changes made since the PTR’s conclusion are highlighted in
blue
. Updates from PTR
Sanctification
Upgrading an affix to a Greater Affix can now also occur on non-ancestral items. Affixes on Ancestral Unique or Mythic Items can no longer be replaced. Indestructible affix replaced by adding 5-25 Quality ranks. To sanctify an item, it only needs to have an item power of 750 or higher in Torment difficulties, rather than being Ancestral. Affix ranges have been adjusted across the board. In general, affix values have been increased, and ranges have been narrowed, and some affixes now have a higher maximum. Additional Legendary powers have been added. Divine Gifts
Andariel
Reduced item quality rewards in pre-Torment difficulties. Duriel
Bonus experience from the maggots in Helltide has been adjusted. Glyph Upgrades
Glyph Upgrades now get a scaling chance to grant an extra upgrade attempt based on Divine Gift rank. Rank 1 grants a 25% chance, up to a 100% upgrade chance at Rank 5. Purified Gifts now grant 2 levels instead of one. Lesser Evil Invasion
Andariel no longer regenerates Health if you die. Andariel's phase transition is now much quicker. The size of Belial's eyeballs has been increased to make them easier to target. Belial's death now takes less time to finish. Shrines no longer disappear when fighting Azmodan. Azmodan has been granted resilience to bring him more in line with other World Bosses. Lesser Evil events in the Overworld now reward unique items from Lair Boss reward pools. Balance Update
Mythic Unique Items
Ahavarion, Spear of Lycander
Lucky Hit gain resource reduced from 66% to 22%. Melted Heart of Selig
Primary resource generation reduced to 50%. Previous (PTR): Each point in your Primary Stat increases your Primary Resource by 3% but you have 75% reduced life. Any damage you would take is dealt to your Primary Resource before your life. If you have not taken damage in 6 seconds, your Resource regenerates to full over 3 seconds. Now: Damage is dealt to your Primary Resource before Life and damage taken this way is drastically reduced. Your Primary Resource is doubled but Maximum Life is reduced by 75%. Developer’s Note:
To reduce the number of required caps in the game, we adjusted this effect. This now grants less Primary Resource, but should provide roughly as much durability as before.",390
7,2.5.0,69713,"December 11, 2025","Barbarian
Damage per 10 points of Strength increased from 1% to 1.1%. Skills
Kick
Width of the hitbox has been doubled. Power Kick
Reverted Fury cap from PTR. Leap
Adjusted attack speed scaling. Enhanced Hammer of the Ancients
Now increases maximum Fury, up to 100. Fury generation per enemy hit increased from 3% to 10%, up to 10 stacks. Items
Aspect of Anger Management
Previous: While above 55-40 Fury, you are Berserk, but 2 Fury Drains per second. Now: While above 50 Fury, deal 10-30%x increased damage and gain Berserking, but 3 Fury Drains per second. Chainscourge Mail
The shorter cooldown for the last Brawling skill used before re-enabling all of them now scales based on attack speed. Fields of Crimson
Blood Pool bonus damage no longer only applies to the casting player. Paragon
Hemorrhage Legendary Node
Increased damage increased from 45%[x] to 60%[x]. Blood Rage Legendary Node
Increased damage increased from 45%[x] to 60%[x]. Carnage Legendary Node
Increased damage increased from 30%[x] to 45%[x]. Decimator Legendary Node
Increased damage increased from 20%[x] to 25%[x]. Flawless Technique Legendary Node
Increased Critical Strike Damage increased from 30%[x] to 45%[x]. Weapons Master Legendary Node
Increased damage to Injured and Healthy increased from 30%[x] to 45%[x]. Undaunted Glyph
Maximum Damaging Reduction from Fortify increased from 10% to 15%. Tempering
Berserking Finesse
Affixes Removed: Damage while War Cry is Active. Arsenal Finesse
No longer available. Weapon Attunement
Affixes Removed:
Resource Generations with Two-Handed Bludgeoning Weapons
Resource Generations with Dual Wielded Weapons
Resource Generations with Two-Handed Slashing Weapons
Druid
Skills
Stoneburst
Lucky Hit chance for the channeled damage increased from 2% to 6%. Grizzly Rage
Cooldown reduced from 50 to 35 seconds. Duration increased from 10 to 12 seconds. Damage Reduction increased from 20% to 30%. Rank 5:
Previous: You gain 30%[+] increased Armor while Grizzly Rage is active. Now: Cooldown reduced by 10 seconds. Passives
Earthen Might
Damage against immobilized enemies increased from 15%[x] to 25%[x]. Critical Strike Damage increased from 15%[x] to 20%[x]. Items
Aspect of the Rampaging Werebeast
Previous: The duration of Grizzly Rage is increased by 3-10 seconds. In addition, Critical Strikes while Grizzly Rage is active increase your Critical Strike Damage by 10%[x] for the duration, up to maximum of 200%[x]. Now: Critical Strikes while in Grizzly Rage increases your damage by 3%[x] for 60 seconds, up to 120%[x].",389
8,2.5.0,69713,"December 11, 2025","Aspect of the Rabid
Beast
Bear
Changed to Aspect of the Rabid Beast. Previous: While Grizzly Rage is active, your direct damage is converted into Poison damage, you deal x[40 - 80]% more Poison damage, and you passively spread Rabies. Now: Deal 40-80%[x] more Poison Damage. While Shapeshifted, your direct damage is converted into Poison damage. Khamsin Steppewalkers (New Boots)
Power
Previous (PTR): Damaging [200 - 100] Enemies with Storm Skills grants a charge. Casting any Defensive Skill will grant Max Movement Speed and Unhindered for 1 second for each charge used. While Charged, enemies you run into are Immobilized for 1 second. Now: Damaging 150-100 Enemies with Nature Magic Skills grants Max Movement Speed and Unhindered for 4-8 seconds. Enemies you run through are Immobilized for 1 second. Affixes
Movement Speed Affix replaced with 1-2 ranks of Endless Tempest. Paragon
Earthen Devastation
Previous: Your Earth Skills deal 10%[x] increased Critical Strike Damage, increased by 20%[x] of your Damage vs Crowd Controlled bonus, up to 60%[x]. Now: Your Earth Skills deal 70%[x] increased Critical Strike Damage. Constricting Tendrils
Previous: Nature Magic Skills deal 35%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 800% damage over 4 seconds. Now: Deal 40%[x] increased damage to Poisoned enemies. Lucky Hit: Nature Magic Skills have up to a 40% chance to Poison the enemy for 1000% damage over 4 seconds. Tempering
Druid Motion
Affixes Removed:
Digitigrade Gait
Necromancer
Book of the Dead
Iron Golem
Attack Speed increased by 25%. Skills
Bone Spirit
Reverted Essence cap from PTR. Passives
Hellbent Commander
Removed the requirement for controlling 7 or more Minions. Rathma's Vigor
Timer for Overpower reduced from 15 to 10 seconds. Items
Aspect of Shielding Storm
Barrier reduced from 1-8% to 1-3% of Maximum Health. Sanguivor, Blade of Zir
Consuming a Corpse now contributes 3 souls to Vampiric Curse, up from 1. Damage bonus increased from 15-25% to 20-30% per soul. Cruor’s Embrace
Damage increased from 40-80% to 60-120% of weapon damage. Mutilator Plate
Blood Lance Damage increased from 10-40% to 30-60%. Ring of Mendeln
Damage increased from 520-900% to 650-1100% of weapon damage. Bone Golem's combo attack of two swings now counts as a single attack for the purposes of Ring of Mendeln, rather than two separate attacks. Tempering
Weapon Attunement
Affixes Removed:
Resource Generation with Two-Handed Weapons.",397
9,2.5.0,69713,"December 11, 2025","Resource Generation while Wielding a Shield. Rogue
Damage scaling per 10 points of Dexterity increased from 1.1% to 1.25%. Skills
Improved Flurry
Healing reduced from 10% to 6%. Passives
Siphoning Strikes
Healing per Rank reduced from 1% to .5% of Maximum Health. Legendary Aspects
Trickshot Aspect
Damage increased from 10-30% to 20-40%. Bladedancer's Aspect
Damage increased from 100-120% to 100-140%. Unique Items
Beastfall Boots
Reverted Energy cap from PTR. Windforce
Chance to deal triple damage to Knocked Down enemies increased from 50-75% to 50-100%. Scoudrel's Kiss
Bonus damage increased from 35-55% to 50-70%. Deathmask of Nirmitruq
Bonus damage increased from 70-100% to 70-130%. Tempering
Rogue Motion
Affixes Removed:
Ranks to Stutter Step
Rogue Persistence
No longer available. Sorcerer
Developer’s Note:
We heard the feedback from PTR loud and clear, and decided to revisit the suite of Teleport changes for the start of the season. We decided to keep the overall changes to Teleport Enchantment, but we wanted to give more of the cooldown reduction power lost there and put it back into itemization. You should have a clearer choice to invest using item slots or tempering to get a fully reset cooldown Teleport, while also maintaining a middle-ground level of investment that gives you a low cooldown option. Enchantments
Teleport Enchantment
Adjusted the description to specify that it invokes Teleport and doesn't Cast it. Skills
Shimmering Teleport
Previous (PTR): Teleport Dazes enemies at its end point for 1.5 seconds. Now: You gain 25%[+] All Resistance for 3 seconds after Teleporting. Passives
Potent Warding
Previous: Casting a Skill grants 3%[+] All Resistance and 2%[+] Maximum Resistance to that Skill's Element for 9 seconds. Now: Casting a Skill grants 3%[+] All Resistance and 5%[+] Resistance to that Skill's Element for 9 seconds. Energy Focus
Maximum Barrier reduced from 30% to 20% of Maximum Health. Protection
Barrier per Rank reduced from 10% to 5% of Maximum Health. Warmth
Healing reduced from 1% per Rank to .2% of Maximum Health. Healing from Bosses reduced from 4% to 2% of Maximum Health. Legendary Aspects
Aspect of Mind's Awakening
Barrier reduced from 3-6% to 1.5-3% of Maximum Health. Serpentine Aspect
Reverted Mana cap from Season of Infernal Chaos. Aspect of the Bounding Conduit
Teleport's Cooldown reduction increased from 1-2.5 to 3-4.5 seconds. Aspect of Biting Cold
Previous: When you Freeze an enemy there is a [25-45%] chance they become Vulnerable for 3 seconds.",397
